1	1	1	1	1
2	2	2	2	2
4	4	4	4	4
6	6	6	6	6
8	8	6	8	8
10	10	6	10	10
12	12	6	12	12
14	14	6	20	14
16	14	6	22	14
18	14	6	24	14
20	14	6	26	14
18	16	4	28	16
16	16	4	30	18
14	16	4	30	20
14	16	4	30	20
12	18	2	32	22
10	20	2	34	24
10	20	2	32	26
10	20	2	30	28
10	20	2	28	30
8	22	2	26	32
8	22	2	24	34
10	20	4	23	32
12	20	6	15	30
14	22	8	14	29
16	25	10	13	28
18	20	10	14	27
20	19	10	12	26
19	18	10	12	25
20	17	10	10	24
18	16	10	9	10
20	15	10	8	9
21	14	10	9	5
20	14	10	9	4
18	13	10	8	4
20	13	10	8	3
28	12	8	6	4
28	12	8	5	3
30	10	8	2	3
32	10	8	3	2
28	9	8	2	3
30	9	6	3	4
32	8	4	2	4
32	8	2	3	4
32	9	2	2	2
26	10	4	2	4
32	8	2	6	2
32	9	2	6	4
32	10	2	6	4
30	11	4	6	2
28	11	4	4	6
30	12	4	4	10
30	13	4	4	12
30	13	4	8	14
30	14	4	9	16
28	15	2	10	14
28	15	2	14	14
26	14	4	15	16
24	13	6	16	16
24	14	6	17	16
24	13	6	100	16
