"rules","support","confidence","lift"
"4","{구청} => {살처분,매몰}",0.5,1,2
"6","{구청} => {상황실,방문객,예방대책대책,차량통제}",0.5,1,2
"8","{구청} => {시장점유율,농림부}",0.5,1,2
"10","{구청} => {축산물,시장}",0.5,1,2
"15","{살처분,매몰} => {상황실,방문객,예방대책대책,차량통제}",0.5,1,2
"17","{살처분,매몰} => {시장점유율,농림부}",0.5,1,2
"19","{살처분,매몰} => {축산물,시장}",0.5,1,2
"24","{상황실,방문객,예방대책대책,차량통제} => {시장점유율,농림부}",0.5,1,2
"26","{상황실,방문객,예방대책대책,차량통제} => {축산물,시장}",0.5,1,2
"31","{시장점유율,농림부} => {축산물,시장}",0.5,1,2
"39","{당부} => {대응}",0.5,1,2
"41","{당부} => {대책반}",0.5,1,2
"43","{당부} => {상황실,대처,파악}",0.5,1,2
"45","{당부} => {지역축협,피해대책,농진청,정책}",0.5,1,2
"47","{당부} => {축산물,쇠고기,농업소득}",0.5,1,2
"52","{대응} => {대책반}",0.5,1,2
"54","{대응} => {상황실,대처,파악}",0.5,1,2
"56","{대응} => {지역축협,피해대책,농진청,정책}",0.5,1,2
"58","{대응} => {축산물,쇠고기,농업소득}",0.5,1,2
"63","{대책반} => {상황실,대처,파악}",0.5,1,2
"65","{대책반} => {지역축협,피해대책,농진청,정책}",0.5,1,2
"67","{대책반} => {축산물,쇠고기,농업소득}",0.5,1,2
"72","{상황실,대처,파악} => {지역축협,피해대책,농진청,정책}",0.5,1,2
"74","{상황실,대처,파악} => {축산물,쇠고기,농업소득}",0.5,1,2
"79","{지역축협,피해대책,농진청,정책} => {축산물,쇠고기,농업소득}",0.5,1,2
"1","{} => {돼지고기}",1,1,1
"2","{} => {비상방역체제방역체제}",1,1,1
"3","{} => {강화}",1,1,1
